"","n.gram","counts"
"1","accuracy proc rate deals",2
"2","act like lady think",2
"3","added claims continuations final",2
"4","adveising fees adveising linking",3
"5","adveising linking amazon com",3
"6","aicle ecb decision public",2
"7","alternate paradigm develoent tarit",3
"8","amazon amazon es ceain",2
"9","amazon ca amazon co",2
"10","amazon co uk amazon",2
"11","amazon com amazon ca",2
"12","amazon de amazon fr",2
"13","amazon es ceain content",2
"14","amazon eu associates programmes",3
"15","amazon fr amazon amazon",2
"16","amazon services llc amazon",5
"17","anc youth league leader",2
"18","anyone information asked call",2
"19","appears website comes amazon",2
"20","asked anyone information call",2
"21","aspirations happiness people opposed",2
"22","assistants mean annual wages",2
"23","associates programmes designed provide",3
"24","atlantic city atlantic city",2
"25","att accuracy proc rate",2
"26","average unemployment rate teens",2
"27","away thy face thy",2
"28","b c b b",2
"29","b d b c",2
"30","ba ba ba ba",4
"31","bed m pretty sure",2
"32","began three years ago",2
"33","bend wire around mandrel",2
"34","bin laden killed raid",2
"35","brings us right back",2
"36","c c c c",3
"37","c coarsely chopped fresh",2
"38","can pretty much guarantee",2
"39","can t look away",2
"40","can t say anything",2
"41","can t wait share",2
"42","capitalism supreme flavor spirit",2
"43","carolina florists conway south",2
"44","carolina florists mogage fraud",2
"45","carolina florists south carolina",2
"46","ceain content appears website",2
"47","cfr f b d",2
"48","cheyenne mountain wheat ridge",2
"49","chicago illinois incorporated item",3
"50","chicago latino film festival",3
"51","civil society nation states",2
"52","claims continuations final rule",3
"53","co uk amazon de",2
"54","com amazon ca amazon",2
"55","com paicipant amazon services",3
"56","come see next time",2
"57","comes amazon services llc",2
"58","complete life aspirations happiness",2
"59","computer science graduate program",5
"60","conference girls basketball team",2
"61","content appears website comes",2
"62","content provided subject change",2
"63","continue steady pace troops",2
"64","conway south carolina florists",15
"65","county executive charlie dooley",2
"66","county grand jury indicted",2
"67","county prosecutor robe bianchi",2
"68","couple months couple months",2
"69","d b c b",2
"70","dark sweet soya sauce",2
"71","datta gupta mary kaldor",3
"72","de amazon fr amazon",3
"73","democracy supreme integration three",2
"74","depament children family services",2
"75","designed provide means sites",3
"76","develoent tarit datta gupta",3
"77","didn t impress movie",2
"78","didn t know anyone",2
"79","didn t really work",2
"80","district cou tafas removed",2
"81","doesn t really matter",2
"82","dominos bismarck noh dakota",4
"83","don t even know",3
"84","don t even remember",2
"85","don t get used",2
"86","don t get wrong",2
"87","don t know else",3
"88","don t know m",3
"89","don t know see",2
"90","don t know whether",2
"91","don t pay attention",2
"92","don t want go",2
"93","dry paper towel chop",2
"94","earn adveising fees adveising",3
"95","ecb decision public access",2
"96","elect large delegates large",2
"97","embracing alternate paradigm develoent",3
"98","equinox day day night",2
"99","es ceain content appears",2
"100","eu associates programmes designed",3
"101","extra virgin olive oil",5
"102","f b d b",2
"103","father ye always remember",2
"104","fees adveising linking amazon",3
"105","final cut pro x",2
"106","finally tables staing turn",2
"107","first round draft pick",2
"108","first round playoff series",2
"109","first three months year",2
"110","florists conway south carolina",2
"111","food drug administration fda",2
"112","form capitalism supreme flavor",2
"113","form democracy supreme integration",2
"114","fr amazon amazon es",2
"115","friend haven t seen",2
"116","go bed m pretty",2
"117","go get dressed decided",2
"118","go long way improving",2
"119","good looking tanned actor",2
"120","grand theater bismarck noh",2
"121","great lakes science center",2
"122","half marathon training stas",2
"123","halo halo icebergs halo",2
"124","halo icebergs halo halo",2
"125","happiness people opposed conventionally",2
"126","haven t seen years",2
"127","highest form capitalism supreme",2
"128","highest form democracy supreme",2
"129","home runs runs batted",2
"130","hours m p m",2
"131","house m p m",2
"132","house speaker john boehner",3
"133","human security complete life",6
"134","ice cream maker according",2
"135","illinois incorporated item c",3
"136","incorporated item b pp",2
"137","incorporated item c pp",3
"138","indent aicle ecb decision",2
"139","injunction district cou tafas",2
"140","innovia v frito lay",2
"141","integration three fundamentals people",3
"142","involved insurance fraud scheme",2
"143","joe kyrillos r monmouth",2
"144","join sl st top",2
"145","just go bed m",2
"146","just little bit ocd",2
"147","just never got around",2
"148","just want make sure",2
"149","ka thump ka thump",2
"150","lady think like man",2
"151","large delegates large alternates",2
"152","last year removed u",2
"153","late s early s",6
"154","level weapon att accuracy",2
"155","life aspirations happiness people",2
"156","like lady think like",2
"157","linking amazon com amazon",3
"158","lioele water drop bb",2
"159","living new york city",2
"160","llc amazon eu associates",3
"161","lobbyists wall street insiders",2
"162","location present tyne bridge",2
"163","louis county executive charlie",2
"164","m p m monday",2
"165","m p m saturday",3
"166","m pretty sure last",2
"167","made hands eternal heavens",2
"168","make sure wasn t",2
"169","me and wome and",3
"170","means sites earn adveising",3
"171","morris county prosecutor robe",2
"172","never actually taught anyone",2
"173","new collective bargaining agreement",2
"174","new heavens new eah",2
"175","new york n y",3
"176","new york new jersey",2
"177","new york new york",3
"178","now don t know",3
"179","number women owned businesses",2
"180","occupy wall street movement",2
"181","october th noon est",2
"182","old dog learning new",2
"183","olive oil frying pan",2
"184","one people everyone wants",2
"185","one piece advice can",2
"186","one thing keep mind",2
"187","opec can drill less",2
"188","open highest form capitalism",2
"189","open house m p",2
"190","opposed conventionally understood povey",2
"191","osama bin laden killed",2
"192","p m monday thursday",2
"193","p m p m",3
"194","pace troops coming home",2
"195","paicipant amazon services llc",3
"196","paradigm develoent tarit datta",3
"197","pat dry paper towel",2
"198","paul goodman changed life",2
"199","pension health care costs",2
"200","people don t know",2
"201","people opposed conventionally understood",2
"202","percent men point difference",2
"203","percent women percent men",2
"204","post traumatic stress disorder",2
"205","proc rate deals damage",2
"206","programmes designed provide means",3
"207","provide means sites earn",3
"208","provided subject change removal",2
"209","provisions cfr f b",2
"210","puzzle piece meant talent",2
"211","rain barrel use tubing",2
"212","rate deals damage times",2
"213","red sox yankees combined",2
"214","reductions continue steady pace",2
"215","removed u troops afghanistan",2
"216","round ch dc dc",2
"217","salt pepper lemon juice",2
"218","sauce ricotta mixture mozzarella",2
"219","science graduate program rankings",5
"220","season salt pepper lemon",2
"221","security complete life aspirations",2
"222","sen joe kyrillos r",2
"223","services llc amazon eu",5
"224","sites earn adveising fees",3
"225","sl st top ch",2
"226","soft scrub total kitchen",3
"227","south carolina florists conway",2
"228","south carolina florists mogage",2
"229","south carolina florists south",2
"230","spent hours upon hours",2
"231","st louis county executive",2
"232","st top ch ch",2
"233","staing turn talking revolution",2
"234","states fences youth exchange",2
"235","steady pace troops coming",2
"236","subject change removal time",3
"237","supreme flavor spirit egalitarian",2
"238","supreme integration three fundamentals",3
"239","tables staing turn talking",2
"240","take place p m",2
"241","tarit datta gupta mary",3
"242","theater bismarck noh dakota",2
"243","therapy assistants mean annual",2
"244","think like man based",2
"245","throw medi kits around",2
"246","thus great trek can",2
"247","thy face thy child",2
"248","tried set sexual encounter",2
"249","turn away thy face",2
"250","two years ago came",2
"251","uk amazon de amazon",2
"252","uninterrupted open highest form",2
"253","united states fences youth",2
"254","unto father ye always",2
"255","upper west side phenomenon",2
"256","via civil society nation",2
"257","waiti and sunny day",2
"258","want bring best person",2
"259","washington president barack obama",2
"260","water drop bb cream",2
"261","weapon att accuracy proc",2
"262","website comes amazon services",2
"263","weighed exactly lbs sissy",2
"264","went go get dressed",2
"265","whine whine whine whine",2
"266","wome and health program",2
"267","women percent men point",2
"268","won percent women percent",2
"269","wordpress com paicipant amazon",3
"270","world embracing alternate paradigm",3
"271","ye always remember ye",2
"272","ye shall keep feast",2
"273","year removed u troops",2
"274","young good looking tanned",2
